,temperature,dew-point,humidity,cloudCover,pressure,windSpeed,temperature-1,dew-point-1,humidity-1,cloudCover-1,pressure-1,windSpeed-1,Vreme,"('broj_traka', '1')","('broj_traka', '3')","('broj_traka', '4')","('broj_traka', '5')","('broj_traka', '6')","('broj_traka', '7')","('broj_ljudi', '1')","('broj_ljudi', '3')","('broj_ljudi', '4')","('broj_ljudi', '5')","('broj_ljudi', '6')","('broj_ljudi', '7')","('brzina_sred', '1')","('brzina_sred', '3')","('brzina_sred', '4')","('brzina_sred', '5')","('brzina_sred', '6')","('brzina_sred', '7')","('brzina_median', '1')","('brzina_median', '3')","('brzina_median', '4')","('brzina_median', '5')","('brzina_median', '6')","('brzina_median', '7')","('brzina_10', '1')","('brzina_10', '3')","('brzina_10', '4')","('brzina_10', '5')","('brzina_10', '6')","('brzina_10', '7')","('brzina_25', '1')","('brzina_25', '3')","('brzina_25', '4')","('brzina_25', '5')","('brzina_25', '6')","('brzina_25', '7')","('brzina_75', '1')","('brzina_75', '3')","('brzina_75', '4')","('brzina_75', '5')","('brzina_75', '6')","('brzina_75', '7')","('brzina_90', '1')","('brzina_90', '3')","('brzina_90', '4')","('brzina_90', '5')","('brzina_90', '6')","('brzina_90', '7')","('brzina_100', '1')","('brzina_100', '3')","('brzina_100', '4')","('brzina_100', '5')","('brzina_100', '6')","('brzina_100', '7')","('labels', '1')","('labels', '3')","('labels', '4')","('labels', '5')","('labels', '6')","('labels', '7')","('brlabels', '1')","('brlabels', '3')","('brlabels', '4')","('brlabels', '5')","('brlabels', '6')","('brlabels', '7')"
2017-01-01 00:30:00,-1.71,-1.08,1.0,0.66,1021.49,0.22,-4.97,-7.04,0.85,0.0,1021.74,0.72,30,2.0,0.0,1.0,1.0,3.0,0.0,9.0,0.0,1.0,1.0,9.0,0.0,145.15148842330458,0.0,98.8832,159.6689502762431,82.57523954276503,0.0,104.00301369863013,0.0,98.8832,159.6689502762431,89.45679475164012,0.0,61.45534998425806,0.0,98.8832,159.6689502762431,60.09060462256719,0.0,85.210101010101,0.0,98.8832,159.6689502762431,78.68953009068426,0.0,237.5727272727273,0.0,98.8832,159.6689502762431,98.30113285272913,0.0,257.11674245556014,0.0,98.8832,159.6689502762431,106.05404233609607,0.0,265.7593220338983,0.0,98.8832,159.6689502762431,106.17397107897663,0.0,1.0,1.0,1.0,1.0,1.0,1.0,113.45064894579177,34.20946061031186,149.63109540636043,130.02332903846843,127.28168182691009,81.7643076923077
2017-01-01 00:40:00,-1.71,-1.08,1.0,0.66,1021.49,0.22,-4.97,-7.04,0.85,0.0,1021.74,0.72,40,5.0,1.0,1.0,1.0,3.0,0.0,13.0,1.0,2.0,1.0,6.0,0.0,133.2125218434708,1.7024285275130648,124.25714770318021,159.6689502762431,73.41700865886327,0.0,104.00301369863013,1.7024285275130648,124.25714770318021,159.6689502762431,81.24573080478024,0.0,66.51280822889863,1.7024285275130648,103.95798954063605,159.6689502762431,41.26486772080155,0.0,89.03218997361476,1.7024285275130648,111.57017385159011,159.6689502762431,74.15320444047927,0.0,150.1922848664688,1.7024285275130648,136.94412155477033,159.6689502762431,88.04307894344913,0.0,251.47942350332596,1.7024285275130648,144.5563058657244,159.6689502762431,97.74042745100803,0.0,265.7593220338983,1.7024285275130648,149.63109540636043,159.6689502762431,106.02406015037593,0.0,1.0,1.0,1.0,1.0,1.0,1.0,111.9255915451664,66.71649269311065,123.93512903145766,125.30603524038979,108.63592170822224,81.7643076923077
2017-01-01 00:50:00,-1.71,-1.08,1.0,0.66,1021.49,0.22,-4.97,-7.04,0.85,0.0,1021.74,0.72,50,5.0,1.0,1.0,1.0,1.0,0.0,17.0,2.0,1.0,1.0,1.0,0.0,133.78951201291878,34.20946061031186,149.63109540636043,159.6689502762431,83.8019315188762,0.0,112.14505169867058,34.20946061031186,149.63109540636043,159.6689502762431,83.8019315188762,0.0,87.50335438820926,8.203834944072824,149.63109540636043,159.6689502762431,83.8019315188762,0.0,91.41745936183021,17.95594456891246,149.63109540636043,159.6689502762431,83.8019315188762,0.0,157.02626680455012,50.46297665171126,149.63109540636043,159.6689502762431,83.8019315188762,0.0,244.52607538802664,60.2150862765509,149.63109540636043,159.6689502762431,83.8019315188762,0.0,265.7593220338983,66.71649269311065,149.63109540636043,159.6689502762431,83.8019315188762,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.91471921298515,0.0,108.60823598254161,118.78829188527834,101.52904079407321,84.40320402762971
2017-01-01 01:00:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,60,5.0,1.0,1.0,2.0,2.0,1.0,16.0,2.0,1.0,3.0,2.0,1.0,113.45064894579177,34.20946061031186,149.63109540636043,130.02332903846843,127.28168182691009,81.7643076923077,102.29094933161377,34.20946061031186,149.63109540636043,116.83430012610341,127.28168182691009,81.7643076923077,91.36248794910512,8.203834944072824,149.63109540636043,112.35863831621377,126.19554480865378,81.7643076923077,93.43353129677854,17.95594456891246,149.63109540636043,114.03701149492238,126.60284619049989,81.7643076923077,129.4308601982903,50.46297665171126,149.63109540636043,139.41513212583197,127.96051746332029,81.7643076923077,153.60927583550946,60.2150862765509,149.63109540636043,152.96363132566913,128.3678188451664,81.7643076923077,157.67850467289716,66.71649269311065,149.63109540636043,161.99596412556053,128.63935309973047,81.7643076923077,1.0,1.0,1.0,1.0,1.0,1.0,101.2367536317645,4.594579646017699,110.21466505885996,108.85937447851693,90.79313949362624,85.72265219529073
2017-01-01 01:10:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,70,3.0,1.0,1.0,2.0,2.0,1.0,12.0,1.0,3.0,4.0,5.0,1.0,111.9255915451664,66.71649269311065,123.93512903145766,125.30603524038979,108.63592170822224,81.7643076923077,100.46742568233053,66.71649269311065,138.8808988764045,114.03701149492238,110.73132250580046,81.7643076923077,91.31851081892503,66.71649269311065,86.8893514790338,111.1798245514301,87.42854695771129,81.7643076923077,91.54151803707998,66.71649269311065,106.38618175304782,111.21833060934448,96.51203235591505,81.7643076923077,125.35940749487246,66.71649269311065,148.95696123234092,128.1247161259677,125.9240105540897,81.7643076923077,156.19576549138208,66.71649269311065,155.00259864590276,148.4474649257234,127.55321608147416,81.7643076923077,157.67850467289716,66.71649269311065,159.03302358827733,161.99596412556053,128.63935309973047,81.7643076923077,1.0,1.0,1.0,1.0,1.0,1.0,107.09001409432737,5.9664594343162705,110.72743925315181,103.85441065856436,87.6498857945242,85.63010682258397
2017-01-01 01:20:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,80,4.0,0.0,1.0,2.0,2.0,1.0,10.0,0.0,6.0,9.0,10.0,3.0,100.91471921298515,0.0,108.60823598254161,118.78829188527834,101.52904079407321,84.40320402762971,98.29763703975277,0.0,122.38112371217926,113.06760563380283,97.30555369080439,85.30786516853934,87.13614176279087,0.0,54.48662300310467,103.99673000798421,84.29452304511074,82.47301918755403,89.76246059015648,0.0,85.92973396321733,111.15415384615386,89.71117426278221,83.53608643042352,104.10003847793021,0.0,134.84010052244403,116.83430012610341,110.41385885182741,85.72265219529073,109.97300219400927,0.0,148.95696123234092,144.41500677860049,126.19554480865378,85.97152441134156,148.7212536728697,0.0,159.03302358827733,161.99596412556053,128.63935309973047,86.13743922204213,1.0,1.0,1.0,1.0,1.0,1.0,118.55371121683498,5.875514879902873,123.88816807879218,96.49491944330646,92.47395150259788,85.44501607717042
2017-01-01 01:30:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,90,4.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,8.0,9.0,10.0,2.0,101.2367536317645,4.594579646017699,110.21466505885996,108.85937447851693,90.79313949362624,85.72265219529073,95.59346789508163,4.594579646017699,122.38112371217926,111.15415384615386,89.96555377392431,85.72265219529073,88.567506811572,4.594579646017699,62.24855965373926,89.73585377358492,79.43367894509583,85.39082257388961,89.76246059015648,4.594579646017699,88.68480425617003,93.30271903323262,84.77025455927051,85.51525868191504,104.59191893993662,4.594579646017699,137.0592150520764,116.62663438256659,97.70231435824905,85.93004570866643,119.54928618863991,4.594579646017699,144.92653628996635,125.80456262542795,109.58845335149746,86.05448181669186,133.43093145869946,4.594579646017699,159.03302358827733,140.01976744186047,110.73132250580046,86.13743922204213,1.0,1.0,1.0,1.0,1.0,1.0,115.23009923320775,32.9439883312303,122.24034766922256,98.23741270479229,93.59992676526001,75.13506023726342
2017-01-01 01:40:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,100,3.0,2.0,1.0,2.0,1.0,2.0,10.0,2.0,13.0,13.0,9.0,3.0,107.09001409432737,5.9664594343162705,110.72743925315181,103.85441065856436,87.6498857945242,85.63010682258397,99.81537986523077,5.9664594343162705,116.76176470588237,107.27572383073498,87.24899451553931,85.44501607717042,89.50754391550588,4.8689556036774135,83.4553108815343,86.30115094339624,78.22401791312136,85.33529535026557,90.61287101490933,5.280519540166985,105.86400000000002,91.97988542329728,84.6191489361702,85.37644062285489,119.77640248057789,6.652399328465555,122.7177054605626,116.62663438256659,90.47431279620852,85.79122764960627,133.97392884780893,7.0639632649551265,133.77300561771054,121.48919930099026,100.37155359853662,85.99895459306778,138.86090534979422,7.338339222614841,170.5191946308725,140.01976744186047,109.46146788990825,86.13743922204213,1.0,1.0,1.0,1.0,1.0,1.0,118.51737738649732,71.7073572693441,116.66923300585577,103.0673834163539,96.0787684039377,77.46312734197473
2017-01-01 01:50:00,-2.19,-1.36,1.0,0.66,1021.42,0.18,-4.97,-6.56,0.89,0.55,1021.66,1.0,110,2.0,2.0,1.0,1.0,2.0,1.0,11.0,3.0,20.0,9.0,7.0,1.0,118.55371121683498,5.875514879902873,123.88816807879218,96.49491944330646,92.47395150259788,85.44501607717042,119.00031347962381,5.69362577107608,124.16570198517101,93.30271903323262,87.24899451553931,85.44501607717042,92.9849357011635,4.814388871029376,104.63919174649965,78.42438702779758,74.16320824003581,85.44501607717042,105.74487209943904,5.14410270854689,108.21020767413879,86.21742243436755,83.75419950738916,85.44501607717042,136.14591840424686,6.51598249684546,133.4967966585399,113.60094339622643,106.65927705307736,85.44501607717042,142.30965323336457,7.009396532307089,148.80682533452278,119.20451294000166,111.54347052983621,85.44501607717042,159.6681388012618,7.338339222614841,170.5191946308725,122.25076142131981,117.26093366093365,85.44501607717042,1.0,1.0,1.0,1.0,1.0,1.0,116.47158509159478,93.71193443543343,91.0794665915665,112.60578062748206,89.70974860179216,77.46312734197473
2017-01-01 02:00:00,-2.61,-1.61,1.0,0.67,1021.32,0.16,-4.92,-7.04,0.85,0.55,1021.56,0.88,120,2.0,2.0,2.0,1.0,2.0,2.0,14.0,3.0,22.0,7.0,10.0,3.0,115.23009923320775,32.9439883312303,122.24034766922256,98.23741270479229,93.59992676526001,75.13506023726342,117.54937541126847,7.338339222614841,120.26563977962527,106.00640732265447,100.93084349786504,74.74936708860758,82.00140079179471,6.022568461383833,105.92611634534788,72.3292275162157,77.65553034794819,67.11851145453134,98.09045478733941,6.51598249684546,108.33171579844755,89.09865392883242,88.16303160094019,69.98008231730992,134.15445371590297,46.56916961130741,130.919283348716,116.02194710794927,106.74213596138375,80.097191582889,143.63409255120595,70.10766784452295,148.17016814764187,119.03270825113938,108.68473896428749,83.30588627945787,159.6681388012618,85.79999999999998,170.5191946308725,119.91734439834026,117.26093366093365,85.44501607717042,1.0,1.0,1.0,1.0,1.0,1.0,127.37443236337816,97.66790165315018,86.72179547001981,105.38429715456375,90.16992583166814,92.42921739130435
